Tamanho,Tempo,Desvio,Imagem,Threads,Programa
16,0.001451,0.000259,elephant,16,mandelbrot_omp
32,0.0014573,0.0000257,elephant,16,mandelbrot_omp
64,0.0023443,0.0000467,elephant,16,mandelbrot_omp
128,0.005187,0.000146,elephant,16,mandelbrot_omp
256,0.016831,0.000192,elephant,16,mandelbrot_omp
512,0.06411,0.00111,elephant,16,mandelbrot_omp
1024,0.24729,0.00116,elephant,16,mandelbrot_omp
2048,0.95971,0.00527,elephant,16,mandelbrot_omp
4096,3.7782,0.0145,elephant,16,mandelbrot_omp
8192,14.9071,0.0386,elephant,16,mandelbrot_omp
16,0.0011965,0.0000252,triple_spiral,16,mandelbrot_omp
32,0.0014630,0.0000255,triple_spiral,16,mandelbrot_omp
64,0.0024337,0.0000515,triple_spiral,16,mandelbrot_omp
128,0.005858,0.000165,triple_spiral,16,mandelbrot_omp
256,0.019162,0.000471,triple_spiral,16,mandelbrot_omp
512,0.075032,0.000789,triple_spiral,16,mandelbrot_omp
1024,0.28734,0.00199,triple_spiral,16,mandelbrot_omp
2048,1.13755,0.00311,triple_spiral,16,mandelbrot_omp
4096,4.5122,0.0133,triple_spiral,16,mandelbrot_omp
8192,17.8994,0.0146,triple_spiral,16,mandelbrot_omp
16,0.001086,0.000315,seahorse,4,mandelbrot_omp
32,0.001332,0.000212,seahorse,4,mandelbrot_omp
64,0.0020974,0.0000113,seahorse,4,mandelbrot_omp
128,0.007322,0.000211,seahorse,4,mandelbrot_omp
256,0.026727,0.000390,seahorse,4,mandelbrot_omp
512,0.102160,0.000640,seahorse,4,mandelbrot_omp
1024,0.39618,0.00361,seahorse,4,mandelbrot_omp
2048,1.58761,0.00250,seahorse,4,mandelbrot_omp
4096,6.34779,0.00388,seahorse,4,mandelbrot_omp
8192,25.36484,0.00915,seahorse,4,mandelbrot_omp
16,0.0007756,0.0000264,seahorse,8,mandelbrot_omp
32,0.001645,0.000637,seahorse,8,mandelbrot_omp
64,0.0017401,0.0000264,seahorse,8,mandelbrot_omp
128,0.006028,0.000915,seahorse,8,mandelbrot_omp
256,0.018057,0.000329,seahorse,8,mandelbrot_omp
512,0.07327,0.00123,seahorse,8,mandelbrot_omp
1024,0.28302,0.00158,seahorse,8,mandelbrot_omp
2048,1.11400,0.00815,seahorse,8,mandelbrot_omp
4096,4.4122,0.0127,seahorse,8,mandelbrot_omp
8192,17.5817,0.0463,seahorse,8,mandelbrot_omp
16,0.002448,0.000282,triple_spiral,32,mandelbrot_omp
32,0.0020923,0.0000270,triple_spiral,32,mandelbrot_omp
64,0.003685,0.000325,triple_spiral,32,mandelbrot_omp
128,0.006930,0.000250,triple_spiral,32,mandelbrot_omp
256,0.020604,0.000265,triple_spiral,32,mandelbrot_omp
512,0.07919,0.00138,triple_spiral,32,mandelbrot_omp
1024,0.28827,0.00137,triple_spiral,32,mandelbrot_omp
2048,1.12861,0.00370,triple_spiral,32,mandelbrot_omp
4096,4.49637,0.00792,triple_spiral,32,mandelbrot_omp
8192,17.9390,0.0112,triple_spiral,32,mandelbrot_omp
16,0.0010349,0.0000242,elephant,1,mandelbrot_omp
32,0.0018447,0.0000238,elephant,1,mandelbrot_omp
64,0.005219,0.000160,elephant,1,mandelbrot_omp
128,0.0164629,0.0000920,elephant,1,mandelbrot_omp
256,0.056571,0.000269,elephant,1,mandelbrot_omp
512,0.216726,0.000436,elephant,1,mandelbrot_omp
1024,0.85070,0.00154,elephant,1,mandelbrot_omp
2048,3.39885,0.00768,elephant,1,mandelbrot_omp
4096,13.4511,0.0187,elephant,1,mandelbrot_omp
8192,54.022,0.132,elephant,1,mandelbrot_omp
16,0.0007964,0.0000748,full,8,mandelbrot_omp
32,0.0008340,0.0000193,full,8,mandelbrot_omp
64,0.0011106,0.0000150,full,8,mandelbrot_omp
128,0.0020787,0.0000158,full,8,mandelbrot_omp
256,0.0059944,0.0000263,full,8,mandelbrot_omp
512,0.022655,0.000150,full,8,mandelbrot_omp
1024,0.07841,0.00160,full,8,mandelbrot_omp
2048,0.27494,0.00504,full,8,mandelbrot_omp
4096,1.05791,0.00968,full,8,mandelbrot_omp
8192,4.14888,0.00882,full,8,mandelbrot_omp
16,0.0011000,0.0000186,full,16,mandelbrot_omp
32,0.0012571,0.0000344,full,16,mandelbrot_omp
64,0.0014422,0.0000162,full,16,mandelbrot_omp
128,0.0022412,0.0000575,full,16,mandelbrot_omp
256,0.005251,0.000181,full,16,mandelbrot_omp
512,0.014103,0.000283,full,16,mandelbrot_omp
